# cfgfile =demo_timeSeq/MYGI/MYGI.1302.meiyo_m4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M14,3.411976,-0.000210,49.635411,0.001001,False,82081.546760,7.425510,1567.048430,13.654190,186.850000,-1.050000,-4.710000,82086.020295,6.231510,1550.385150,13.592360,189.220000,1.740000,-3.120000,0.000361,0.000018,-0.000021,-0.000830,-0.000055
1,S01,L01,M15,2.384768,-0.000209,20.870239,0.000694,False,82091.546910,5.146170,1529.360350,14.351940,186.170000,1.510000,-2.380000,82094.993235,4.332480,1515.769060,13.627930,186.570000,1.780000,-3.480000,0.000361,0.000018,-0.000021,-0.000825,-0.000056
2,S01,L01,M15,2.319818,-0.000006,16.031342,0.000672,False,82131.546865,3.399510,1375.890100,13.215850,180.810000,1.100000,-0.930000,82134.928240,4.285690,1362.261450,14.225630,180.350000,-0.550000,-3.370000,0.000360,0.000019,-0.000022,-0.000807,-0.000062
3,S01,L01,M12,3.231712,0.000031,46.432158,0.000994,False,82141.546835,4.796460,1335.838910,13.355290,180.710000,1.080000,-3.310000,82145.840105,4.263790,1318.705610,13.506400,178.690000,-1.960000,-0.910000,0.000360,0.000019,-0.000022,-0.000802,-0.000064
4,S01,L01,M15,2.270638,-0.000014,10.805853,0.000647,False,82171.546910,13.776210,1218.016930,14.056190,179.640000,2.310000,-7.080000,82174.879105,13.268660,1204.642630,12.732750,178.030000,-1.510000,0.260000,0.000360,0.000020,-0.000023,-0.000788,-0.000068
5,S01,L01,M12,3.096772,-0.000003,43.876692,0.000939,False,82181.546885,15.636670,1179.908560,14.170490,179.790000,2.360000,-1.940000,82185.705215,16.823910,1163.589920,13.522910,180.260000,-0.140000,-3.670000,0.000360,0.000020,-0.000023,-0.000783,-0.000069
6,S01,L01,M13,3.583848,-0.000162,51.848291,0.001086,False,82191.546955,18.768100,1141.278080,13.219200,183.230000,0.760000,-4.870000,82196.192360,18.467850,1123.564050,14.048600,183.760000,-0.980000,-2.860000,0.000360,0.000021,-0.000023,-0.000779,-0.000071
7,S01,L01,M14,3.032086,-0.000054,42.893564,0.000866,False,82201.547000,17.289200,1101.844720,13.697340,185.520000,2.170000,-2.660000,82205.640645,17.853000,1086.692300,12.308360,188.370000,-0.340000,-4.150000,0.000360,0.000021,-0.000023,-0.000774,-0.000072
8,S01,L01,M15,2.242223,-0.000023,5.506325,0.000638,False,82211.546915,15.019250,1063.533790,14.359960,185.880000,-0.060000,-1.490000,82214.850695,14.842710,1049.676910,13.720420,187.410000,1.370000,-6.360000,0.000360,0.000021,-0.000023,-0.000770,-0.000074
9,S01,L01,M12,2.979082,0.000113,41.370548,0.000913,False,82221.546975,11.919590,1025.360350,13.396040,185.820000,-2.550000,0.060000,82225.587615,12.237370,1008.438990,14.010550,186.900000,1.070000,-4.830000,0.000360,0.000022,-0.000024,-0.000765,-0.000075
10,S01,L01,M13,3.422703,-0.000214,49.583340,0.001053,False,82231.546930,10.699300,985.423570,13.652650,186.510000,-1.980000,-3.810000,82236.031190,9.021880,968.226450,13.027680,184.520000,0.310000,0.300000,0.000360,0.000022,-0.000024,-0.000760,-0.000077
11,S01,L01,M14,2.918366,-0.000053,40.299814,0.000846,False,82241.547000,9.462770,946.771140,13.429350,187.960000,1.050000,-2.630000,82245.526925,8.314780,930.749470,14.032630,187.380000,0.020000,-3.210000,0.000360,0.000022,-0.000024,-0.000756,-0.000078
12,S01,L01,M15,2.231203,-0.000045,0.439921,0.000646,False,82251.546975,6.979410,907.701220,13.291580,187.910000,-2.050000,-3.890000,82254.839735,6.002210,894.900700,13.526120,187.860000,1.380000,-1.970000,0.000360,0.000022,-0.000024,-0.000751,-0.000080
13,S01,L01,M12,2.872862,-0.000065,38.819221,0.000898,False,82261.547025,3.140740,869.303180,13.796930,189.730000,0.250000,-0.950000,82265.481445,2.145070,853.761480,13.196900,188.420000,0.520000,-3.250000,0.000360,0.000023,-0.000024,-0.000746,-0.000081
14,S01,L01,M13,3.268563,0.000139,47.101017,0.001029,False,82271.547085,-0.783870,830.924510,13.910780,189.230000,-0.300000,-0.190000,82275.877205,-2.719040,813.679390,13.376150,189.230000,0.290000,-3.630000,0.000360,0.000023,-0.000025,-0.000742,-0.000082
15,S01,L01,M14,2.813941,0.000148,37.624619,0.000836,False,82281.547025,-5.052560,792.577180,12.146430,187.340000,-3.360000,0.600000,82285.422525,-4.700540,777.715110,15.113100,186.470000,0.430000,-3.990000,0.000360,0.000023,-0.000025,-0.000737,-0.000084
16,S01,L01,M15,2.239928,0.000047,5.295398,0.000666,False,82291.547070,-7.566840,754.323400,12.591480,184.880000,-0.760000,-3.840000,82294.848555,-7.832850,742.517930,13.301490,183.990000,-0.770000,-1.820000,0.000360,0.000023,-0.000025,-0.000733,-0.000085
17,S01,L01,M12,2.782367,-0.000132,36.351806,0.000891,False,82301.537100,-9.166360,716.594580,13.905220,180.520000,-0.220000,-1.550000,82305.381025,-9.717080,702.067100,13.274430,179.740000,-0.420000,-1.460000,0.000360,0.000024,-0.000025,-0.000728,-0.000087
18,S01,L01,M14,2.728241,0.000138,35.134637,0.000819,False,82321.537120,-7.469850,641.067030,13.038500,179.820000,0.260000,-1.190000,82325.326920,-7.539940,627.064330,14.335480,179.840000,-1.530000,-1.970000,0.000360,0.000024,-0.000025,-0.000719,-0.000089
19,S01,L01,M15,2.267953,0.000047,10.449761,0.000678,False,82331.537065,-6.845110,604.044570,13.067140,181.210000,-2.860000,-2.740000,82334.866575,-5.590640,592.873270,13.730030,181.980000,0.560000,-2.680000,0.000360,0.000025,-0.000026,-0.000714,-0.000091
20,S01,L01,M13,2.992358,0.000146,41.693455,0.000964,False,82351.537140,-5.022700,533.643500,13.693950,179.650000,-0.620000,-1.140000,82355.591055,-4.912620,519.301500,14.817200,179.290000,0.540000,-2.440000,0.000360,0.000025,-0.000026,-0.000705,-0.000093
21,S01,L01,M14,2.662776,-0.000039,33.047838,0.000803,False,82361.537245,-4.414400,498.858510,11.918520,180.080000,-2.560000,-2.040000,82365.261580,-1.897160,486.724320,14.287430,181.150000,1.210000,-3.000000,0.000360,0.000025,-0.000026,-0.000701,-0.000095
22,S01,L01,M15,2.309008,-0.000081,15.149034,0.000695,False,82371.537175,-1.809220,463.941400,13.187780,180.600000,0.620000,-7.860000,82374.907740,-3.008120,452.932140,12.698160,180.120000,0.390000,-0.250000,0.000360,0.000026,-0.000026,-0.000696,-0.000096
