# cfgfile =demo_timeSeq/MYGI/MYGI.1903.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.478243,0.000036,26.265136,-0.000116,False,4891.401320,-24.116200,1701.057890,14.658840,182.360000,1.620000,-0.630000,4894.941120,-23.488090,1689.966670,15.230730,182.500000,-0.690000,-1.550000,-0.000239,0.116180,0.006423,-1.329145,0.179901
1,S01,L01,M15,2.362308,0.000013,19.452247,-0.000171,False,4971.394400,-20.070830,1474.878420,15.012850,185.810000,-1.350000,-2.780000,4974.818265,-21.607960,1465.825290,15.126180,186.160000,1.120000,-0.400000,-0.000247,0.111699,0.009063,-1.258029,0.185927
2,S01,L01,M12,3.367777,0.000000,49.183964,-0.000108,False,4972.484465,-20.460260,1471.924890,14.842310,186.130000,-0.890000,-2.090000,4976.913800,-21.195540,1459.668760,15.478870,186.040000,0.060000,-2.160000,-0.000247,0.111609,0.009114,-1.256617,0.186046
3,S01,L01,M12,3.346387,0.000020,48.839463,-0.000113,False,4981.394760,-22.941030,1447.372000,15.001580,187.200000,0.080000,-0.270000,4985.802705,-22.746340,1435.294800,15.190490,186.850000,-0.410000,-2.360000,-0.000248,0.111112,0.009402,-1.248729,0.186711
4,S01,L01,M15,2.320463,0.000048,16.081963,-0.000183,False,5011.395990,-27.987970,1370.527240,15.697100,184.190000,3.180000,-0.610000,5014.778010,-27.922430,1361.060250,14.998980,184.500000,-2.400000,-2.080000,-0.000250,0.109465,0.010345,-1.222638,0.188908
5,S01,L01,M13,3.781973,-0.000055,54.906668,-0.000368,False,5031.396715,-28.462690,1321.495340,16.032000,182.290000,2.160000,-1.370000,5036.240245,-28.434950,1309.631930,14.949370,182.180000,1.120000,-0.750000,-0.000252,0.108309,0.010998,-1.204339,0.190444
6,S01,L01,M14,3.186111,0.000010,46.323940,-0.000449,False,5032.486885,-28.237240,1318.022950,15.435250,182.550000,-0.950000,-1.820000,5036.734555,-28.217540,1308.487450,15.221700,182.080000,1.320000,-1.010000,-0.000252,0.108264,0.011023,-1.203640,0.190503
7,S01,L01,M14,3.168221,0.000072,46.004185,-0.000455,False,5041.397490,-28.162450,1296.557690,14.600960,182.350000,-1.390000,-0.880000,5045.627270,-27.361930,1286.028880,15.216380,182.910000,-0.760000,-2.080000,-0.000253,0.107768,0.011301,-1.195795,0.191160
8,S01,L01,M15,2.294348,-0.000005,13.577597,-0.000201,False,5042.487245,-27.727220,1294.363150,14.958520,182.090000,0.840000,-1.610000,5045.843150,-27.464400,1285.483390,15.179200,182.990000,-0.890000,-1.880000,-0.000253,0.107732,0.011322,-1.195220,0.191208
9,S01,L01,M15,2.287333,-0.000017,12.847910,-0.000208,False,5051.397550,-26.823980,1271.726470,14.211620,182.820000,-1.270000,-2.550000,5054.746440,-26.700660,1263.972630,15.335450,181.760000,-0.220000,-1.400000,-0.000254,0.107236,0.011599,-1.187378,0.191865
10,S01,L01,M12,3.194577,-0.000019,46.207355,-0.000171,False,5052.487615,-27.101120,1269.804030,14.834360,182.270000,1.210000,-1.470000,5056.743750,-26.327550,1258.977560,14.817400,181.550000,-1.320000,-1.730000,-0.000254,0.107150,0.011646,-1.186019,0.191978
11,S01,L01,M12,3.175817,0.000045,45.857903,-0.000181,False,5061.397940,-26.160510,1247.409300,15.180330,181.880000,-0.380000,-1.140000,5065.635315,-24.761740,1236.628100,14.334430,181.550000,-2.060000,-2.860000,-0.000255,0.106655,0.011921,-1.178191,0.192633
12,S01,L01,M13,3.699823,-0.000056,53.915480,-0.000402,False,5062.488005,-25.952030,1245.212080,15.716270,181.160000,1.030000,-1.170000,5067.249385,-25.091020,1233.337210,14.477890,181.990000,0.330000,-1.320000,-0.000255,0.106580,0.011963,-1.177002,0.192732
13,S01,L01,M14,3.108131,-0.000018,44.832163,-0.000480,False,5072.488475,-23.866670,1220.355660,15.138530,181.900000,-0.520000,-1.940000,5076.658165,-24.348440,1209.880880,15.029990,182.580000,0.010000,-1.120000,-0.000256,0.106041,0.012261,-1.168476,0.193444
14,S01,L01,M15,2.267828,-0.000025,10.241135,-0.000231,False,5082.488730,-23.710460,1195.275850,14.230410,184.510000,-1.750000,-0.620000,5085.818115,-22.927210,1188.022250,16.486020,183.830000,1.110000,-2.180000,-0.000257,0.105508,0.012553,-1.160068,0.194145
