# cfgfile =demo_timeSeq/MYGI/MYGI.1903.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradRe,GradRn,GradVe,GradVn
0,S01,L01,M15,2.478243,0.000036,26.265149,-0.000114,False,4891.401320,-24.116200,1701.057890,14.658840,182.360000,1.620000,-0.630000,4894.941120,-23.488090,1689.966670,15.230730,182.500000,-0.690000,-1.550000,-0.000239,0.115329,0.007147,-1.329760,0.180998
1,S01,L01,M15,2.362308,0.000012,19.452266,-0.000170,False,4971.394400,-20.070830,1474.878420,15.012850,185.810000,-1.350000,-2.780000,4974.818265,-21.607960,1465.825290,15.126180,186.160000,1.120000,-0.400000,-0.000247,0.110898,0.009747,-1.258626,0.186972
2,S01,L01,M12,3.367777,0.000001,49.183984,-0.000108,False,4972.484465,-20.460260,1471.924890,14.842310,186.130000,-0.890000,-2.090000,4976.913800,-21.195540,1459.668760,15.478870,186.040000,0.060000,-2.160000,-0.000247,0.110810,0.009798,-1.257213,0.187090
3,S01,L01,M12,3.346387,0.000021,48.839484,-0.000114,False,4981.394760,-22.941030,1447.372000,15.001580,187.200000,0.080000,-0.270000,4985.802705,-22.746340,1435.294800,15.190490,186.850000,-0.410000,-2.360000,-0.000248,0.110317,0.010081,-1.249323,0.187750
4,S01,L01,M15,2.320463,0.000048,16.081985,-0.000182,False,5011.395990,-27.987970,1370.527240,15.697100,184.190000,3.180000,-0.610000,5014.778010,-27.922430,1361.060250,14.998980,184.500000,-2.400000,-2.080000,-0.000251,0.108688,0.011010,-1.223226,0.189928
5,S01,L01,M13,3.781973,-0.000056,54.906683,-0.000369,False,5031.396715,-28.462690,1321.495340,16.032000,182.290000,2.160000,-1.370000,5036.240245,-28.434950,1309.631930,14.949370,182.180000,1.120000,-0.750000,-0.000252,0.107545,0.011653,-1.204922,0.191451
6,S01,L01,M14,3.186111,0.000011,46.323953,-0.000448,False,5032.486885,-28.237240,1318.022950,15.435250,182.550000,-0.950000,-1.820000,5036.734555,-28.217540,1308.487450,15.221700,182.080000,1.320000,-1.010000,-0.000253,0.107501,0.011678,-1.204223,0.191509
7,S01,L01,M14,3.168221,0.000073,46.004198,-0.000454,False,5041.397490,-28.162450,1296.557690,14.600960,182.350000,-1.390000,-0.880000,5045.627270,-27.361930,1286.028880,15.216380,182.910000,-0.760000,-2.080000,-0.000253,0.107011,0.011952,-1.196376,0.192161
8,S01,L01,M15,2.294348,-0.000006,13.577621,-0.000200,False,5042.487245,-27.727220,1294.363150,14.958520,182.090000,0.840000,-1.610000,5045.843150,-27.464400,1285.483390,15.179200,182.990000,-0.890000,-1.880000,-0.000253,0.106975,0.011972,-1.195801,0.192209
9,S01,L01,M15,2.287333,-0.000018,12.847934,-0.000207,False,5051.397550,-26.823980,1271.726470,14.211620,182.820000,-1.270000,-2.550000,5054.746440,-26.700660,1263.972630,15.335450,181.760000,-0.220000,-1.400000,-0.000254,0.106484,0.012244,-1.187956,0.192859
10,S01,L01,M12,3.194577,-0.000018,46.207375,-0.000171,False,5052.487615,-27.101120,1269.804030,14.834360,182.270000,1.210000,-1.470000,5056.743750,-26.327550,1258.977560,14.817400,181.550000,-1.320000,-1.730000,-0.000254,0.106399,0.012291,-1.186598,0.192972
11,S01,L01,M12,3.175817,0.000045,45.857924,-0.000182,False,5061.397940,-26.160510,1247.409300,15.180330,181.880000,-0.380000,-1.140000,5065.635315,-24.761740,1236.628100,14.334430,181.550000,-2.060000,-2.860000,-0.000255,0.105909,0.012562,-1.178767,0.193621
12,S01,L01,M13,3.699823,-0.000057,53.915495,-0.000403,False,5062.488005,-25.952030,1245.212080,15.716270,181.160000,1.030000,-1.170000,5067.249385,-25.091020,1233.337210,14.477890,181.990000,0.330000,-1.320000,-0.000255,0.105835,0.012603,-1.177578,0.193719
